id,model_type,model_id,uuid,collection_name,name,file_name,mime_type,disk,conversions_disk,size,manipulations,custom_properties,generated_conversions,responsive_images,order_column,created_at,updated_at
23,App\Models\Product,2,b1cedb6c-d26a-466c-967f-1717e800673b,images,premium trust screenshot,premium-trust-screenshot.jpg,image/jpeg,public,public,209097,[],[],"{""thumb"":true,""small"":true,""large"":true}",[],1,2025-04-30 10:52:09,2025-04-30 10:52:11
24,App\Models\Product,2,b16ac050-3c42-484c-b278-db9274ba1911,images,premium trust screenshot2,premium-trust-screenshot2.jpg,image/jpeg,public,public,221556,[],[],"{""thumb"":true,""small"":true,""large"":true}",[],2,2025-04-30 10:52:09,2025-04-30 10:52:13
25,App\Models\Product,2,810afa66-1a1c-4a61-ad9b-91c0cbbc2ba4,images,Screenshot 2023-10-20 102246,Screenshot-2023-10-20-102246.jpg,image/jpeg,public,public,181887,[],[],"{""thumb"":true,""small"":true,""large"":true}",[],3,2025-04-30 10:52:09,2025-04-30 10:52:15
26,App\Models\VariationTypeOption,7,212e6e12-d7fe-4086-8258-890a2f21d3f1,images,chat,chat.png,image/png,public,public,68741,[],[],"{""thumb"":true,""small"":true,""large"":true}",[],1,2025-04-30 11:00:42,2025-04-30 11:00:47
27,App\Models\VariationTypeOption,7,e6e76477-5f10-4328-889a-04e7fea7ee94,images,bg,bg.jpg,image/jpeg,public,public,176138,[],[],"{""thumb"":true,""small"":true,""large"":true}",[],2,2025-04-30 11:00:42,2025-04-30 11:00:49
28,App\Models\VariationTypeOption,7,8ea7ed68-5091-4e71-a776-ecf1838fc4e7,images,bg-slides-1,bg-slides-1.png,image/png,public,public,1731490,[],[],"{""thumb"":true,""small"":true,""large"":true}",[],3,2025-04-30 11:00:42,2025-04-30 11:00:52
29,App\Models\VariationTypeOption,7,a304bff9-e5a0-46f2-a1a3-6d7a538c042e,images,bg-slides-3,bg-slides-3.png,image/png,public,public,1203861,[],[],"{""thumb"":true,""small"":true,""large"":true}",[],4,2025-04-30 11:00:42,2025-04-30 11:00:55
30,App\Models\VariationTypeOption,7,081ef541-ba72-4cca-95a5-5e138d78d96f,images,calling,calling.jpg,image/jpeg,public,public,578386,[],[],"{""thumb"":true,""small"":true,""large"":true}",[],5,2025-04-30 11:00:42,2025-04-30 11:00:57
31,App\Models\VariationTypeOption,7,a0a24c60-5d52-4529-8727-19a9c2f4f4cc,images,call-to-action,call-to-action.jpg,image/jpeg,public,public,178132,[],[],"{""thumb"":true,""small"":true,""large"":true}",[],6,2025-04-30 11:00:42,2025-04-30 11:00:59
32,App\Models\VariationTypeOption,8,9d57eaff-a57d-4ae4-a7c9-98a20712b723,images,buy_data,buy_data.png,image/png,public,public,1052,[],[],"{""thumb"":true,""small"":true,""large"":true}",[],1,2025-04-30 11:00:42,2025-04-30 11:01:02
33,App\Models\VariationTypeOption,8,49dbde9c-d153-470a-8130-8f5319b802ff,images,premium trust screenshot,premium-trust-screenshot.jpg,image/jpeg,public,public,209097,[],[],"{""thumb"":true,""small"":true,""large"":true}",[],2,2025-04-30 11:00:42,2025-04-30 11:01:04
